FR,RU_GOLD,RU_MT,FR_TERMS,RU_TERMS_GOLD,COMET_MT,TER_MT
RÉSOLUTION 62/88,РЕЗОЛЮЦИЯ 62/88,РЕЗОЛЮЦИЯ 62/88,['RÉSOLUTION'],['РЕЗОЛЮЦИЯ'],1.3224704265594482,0.0
"Adoptée à la 73e séance plénière, le 13 décembre 2007, sans avoir été mise aux voix, sur la base du projet de résolution A/62/L.31, présenté par le Président de l'Assemblée générale","Принята без голосования на 73-м пленарном заседании 13 декабря 2007 года по проекту резолюции A/62/L.31, представленному Председателем Генеральной Ассамблеи","Принята на 73-й пленарной сессии 13 декабря 2007 года без голосования на основе проекта резолюции A/62/L.31, представленного Председателем Генеральной Ассамблеи","['sans avoir été mise aux voix', 'RÉSOLUTION', 'Assemblée générale', 'séance plénière']","['без голосования', 'РЕЗОЛЮЦИЯ', 'Генеральная Ассамблея', 'пленарное заседание']",0.9066570997238159,42.10526315789473
62/88. Déclaration de la séance plénière commémorative de haut niveau sur les suites données à la session extraordinaire de l'Assemblée générale consacrée aux enfants,"62/88. Декларация участников торжественного пленарного заседания высокого уровня, посвященного рассмотрению последующих мер по выполнению решений специальной сессии по положению детей","62/88. Декларация пленарного заседания высокого уровня по итогам внеочередной сессии Генеральной Ассамблеи, посвященной детям","['Assemblée générale', 'séance plénière']","['Генеральная Ассамблея', 'пленарное заседание']",0.32104215025901794,70.0
L'Assemblée générale,Генеральная Ассамблея,Генеральная Ассамблея,['Assemblée générale'],['Генеральная Ассамблея'],1.3203699588775635,0.0
Adopte la déclaration suivante :,принимает следующую Декларацию:,принимает следующую Декларацию:,['Adopte la déclaration suivante :'],['принимает следующую Декларацию:'],1.313737154006958,0.0
Déclaration de la séance plénière commémorative de haut niveau sur les suites données à la session extraordinaire de l'Assemblée générale consacrée aux enfants,"Декларация участников торжественного пленарного заседания высокого уровня, посвященного рассмотрению последующих мер по выполнению решений специальной сессии по положению детей","Заявление о высокопоставленной памятной пленарной сессии по итогам внеочередной сессии Генеральной Ассамблеи, посвященной детям","['Assemblée générale', 'séance plénière', 'Déclaration de Hyogo']","['Генеральная Ассамблея', 'пленарное заседание', 'Хиогская декларация']",0.16046085953712463,94.73684210526315
"1. Nous, représentants des États rassemblés à la séance plénière commémorative de haut niveau de l'Assemblée générale, sommes encouragés par les avancées réalisées depuis 2002 sur la voie de la création d'un monde digne des enfants. Le nombre d'enfants de moins de 5 ans qui meurent chaque année a diminué. Jamais autant d'enfants n'ont été scolarisés. Les filles et les garçons se voient de plus en plus offrir les mêmes possibilités d'éducation. Les enfants, notamment ceux touchés par le VIH/sida, ont à leur disposition un plus grand nombre de médicaments. Le nombre de lois, de politiques et de plans visant à protéger les enfants contre la violence, les mauvais traitements et l'exploitation ne cesse de croître. Nos actions présentes et futures doivent faire fond sur ces avancées importantes.","1. Мы, представители государств, собравшиеся на торжественное пленарное заседание Генеральной Ассамблеи высокого уровня, с удовлетворением отмечаем прогресс, достигнутый с 2002 года в деле построения мира, пригодного для жизни детей. Уменьшился годовой показатель смертности среди детей в возрасте до пяти лет. Больше детей, чем когда-либо ранее, посещают школы. Больше равных возможностей в сфере образования предоставляется девочкам и мальчикам. Больше лекарств доступны детям, в том числе детям, инфицированным ВИЧ и больным СПИДом. Принято больше законов, стратегий и планов, призванных защищать детей от насилия, надругательств и эксплуатации. В своих нынешних и будущих действиях нам следует опираться на эти крупные достижения.","1. Мы, представители государств, собравшиеся на пленарное заседание, посвященное памяти, в Генеральной Ассамблее, вдохновлены достижениями, достигнутыми с 2002 года на пути создания мира, достойного детей. Количество детей в возрасте до пяти лет, умирающих каждый год, уменьшилось. Никогда так много детей не ходило в школу. Девочкам и мальчикам все чаще предлагают одинаковые возможности для получения образования. Дети, особенно те, кто заражен ВИЧ/СПИДом, имеют в своем распоряжении больше лекарств. Количество законов, политик и планов, направленных на защиту детей от насилия, жестокого обращения и эксплуатации, неуклонно растет. Наши нынешние и будущие действия должны опираться на эти важные достижения.","['Assemblée générale', 'séance plénière']","['Генеральная Ассамблея', 'пленарное заседание']",0.7359922528266907,73.19587628865979
"2. Cependant, de nombreux problèmes subsistent. L'élimination de la pauvreté est le problème le plus grave que doit affronter le monde aujourd'hui, car la pauvreté fait obstacle à la satisfaction des besoins des enfants du monde entier ainsi qu'à la protection et à la promotion de leurs droits.","2. И все же осталось много нерешенных проблем. Важнейшей задачей глобального масштаба является ликвидация нищеты, поскольку нищета препятствует удовлетворению потребностей и защите и поощрению прав всех детей мира.","2. Однако существует множество проблем. Самой серьезной проблемой, с которой сегодня столкнулся мир, является искоренение нищеты, поскольку она препятствует удовлетворению потребностей детей во всем мире, а также защите и поощрению их прав.",[],[],0.8483656048774719,82.14285714285714
"Malgré les résultats encourageants obtenus, le nombre d'enfants qui décèdent avant leur cinquième anniversaire reste inacceptable.","Несмотря на обнадеживающие успехи, число детей, умирающих до достижения пяти лет, по-прежнему недопустимо велико.","Несмотря на достигнутые обнадеживающие результаты, количество детей, умирающих до достижения пятилетнего возраста, остается неприемлемым.",[],[],0.9990077614784241,57.14285714285714
"La malnutrition, les pandémies, notamment le VIH/sida, ainsi que le paludisme, la tuberculose et d'autres maladies évitables continuent d'empêcher des millions d'enfants de mener une vie saine. Le manque d'accès à l'éducation constitue toujours un obstacle majeur à leur développement. Un grand nombre d'enfants continuent d'être victimes de violences, d'exploitation et de mauvais traitements, mais aussi d'iniquité et de discrimination, en particulier les filles. Nous nous emploierons à rompre le cercle vicieux de la pauvreté, à réaliser les objectifs de développement convenus au niveau international, notamment les objectifs du Millénaire pour le développement, à créer un environnement propice au bien-être des enfants et à réaliser tous les droits des enfants.","Недоедание, пандемии, включая ВИЧ/СПИД, а также малярия, туберкулез и другие поддающиеся профилактике болезни по-прежнему не позволяют миллионам детей жить здоровой жизнью. Существенным фактором, препятствующим их развитию, по-прежнему является отсутствие возможности получить образование. Большое число детей все еще подвергается насилию, эксплуатации и надругательствам и сталкивается с неравенством и дискриминацией, особенно девочки. Мы будем прилагать усилия к тому, чтобы разорвать цикл нищеты, достичь согласованных на международном уровне целей в области развития, в том числе сформулированных в Декларации тысячелетия, создать условия, способствующие благополучию детей, и осуществить все права детей.","Мальnutrition, пандемии, в частности ВИЧ/СПИД, а также малярия, туберкулез и другие болезни, поддающиеся профилактике, продолжают мешать миллионам детей вести здоровый образ жизни. Недостаток доступа к образованию по-прежнему является серьезным препятствием на пути их развития. Многие дети по-прежнему становятся жертвами насилия, эксплуатации и жестокого обращения, а также несправедливости и дискриминации, особенно девочки. Мы будем прилагать усилия, чтобы прервать порочный круг нищеты, реализовать согласованные на международном уровне цели в области развития, в частности цели в области развития тысячелетия, создать благоприятные условия для благополучия детей и реализовать все права детей.",['maladies évitables'],['поддающиеся профилактике болезни'],0.7633907198905945,61.627906976744185
