term,expected,matched,consistency
поддающиеся профилактике болезни,1,0,0.0
Хиогская декларация,6,0,0.0
принимая к сведению,9,0,0.0
Устав Организации Объединенных Наций,24,0,0.0
Личный представитель Генерального секретаря при Организации освобождения Палестины и Палестинской администрации,2,0,0.0
Предназначение,12,0,0.0
Сфера применения,5,0,0.0
принимая во внимание,8,0,0.0
Специальный координатор Организации Объединенных Наций по ближневосточному мирному процессу,2,0,0.0
Настоящий документ призван:,1,0,0.0
Принципы лесопользования,1,0,0.0
Повестка дня на XXI век,2,0,0.0
неистощительное ведение лесного хозяйства,37,0,0.0
международный механизм по лесам,2,0,0.0
Не имеющий обязательной юридической силы документ,8,0,0.0
перечень наименее развитых стран,3,0,0.0
настоящего документа,9,0,0.0
"Дополнительный протокол к Женевским конвенциям от 12 августа 1949 года, касающийся защиты жертв международных вооруженных конфликтов (Протокол I), 1977 года",1,0,0.0
"Конвенция о запрещении применения, накопления запасов, производства и передачи противопехотных мин и об их уничтожении 1997 года",1,0,0.0
Протокол по взрывоопасным пережиткам войны 2003 года (Протокол V к Конвенции 1980 года),1,0,0.0
"Протокол о запрещении или ограничении применения мин, мин-ловушек и других устройств с поправками, внесенными в 1996 году (Протокол II к Конвенции 1980 года о запрещении или ограничении применения конкретных видов обычного оружия, которые могут считаться наносящими чрезмерные повреждения или имеющими неизбирательное действие)",1,0,0.0
Национальные стратегии и меры,1,0,0.0
"Помощь в деятельности, связанной с разминированием",6,0,0.0
Организация Объединенных Наций,35,1,0.02857142857142857
Международное десятилетие культуры мира и ненасилия в интересах детей планеты,6,1,0.16666666666666666
государства-члены,46,9,0.1956521739130435
пленарное заседание,20,5,0.25
Хиогская рамочная программа действий,7,2,0.2857142857142857
Экономический и Социальный Совет,20,6,0.3
Руководящие принципы,3,1,0.3333333333333333
Международное движение Красного Креста и Красного Полумесяца ,3,1,0.3333333333333333
Всеобщая декларация прав человека,3,1,0.3333333333333333
Межправительственная океанографическая комиссия,3,1,0.3333333333333333
Секретариат,10,4,0.4
План действий,5,2,0.4
Приложение,17,7,0.4117647058823529
Глобальная цель,7,3,0.42857142857142855
Международный уголовный трибунал,2,1,0.5
Рио-де-Жанейрская декларация по окружающей среде и развитию,2,1,0.5
Генеральный секретарь,52,33,0.6346153846153846
общество Красного Креста,3,2,0.6666666666666666
РЕЗОЛЮЦИЯ,102,84,0.8235294117647058
Генеральная Ассамблея,25,21,0.84
без голосования,15,14,0.9333333333333333
принимает следующую Декларацию:,1,1,1.0
Международный год сближения культур,2,2,1.0
«Альянс цивилизаций»,1,1,1.0
Конвенция о правах ребенка,2,2,1.0
Совет Безопасности,6,6,1.0
Методы работы,1,1,1.0
Международное сотрудничество и средства осуществления,1,1,1.0
"Контроль, оценка и отчетность",1,1,1.0
Конвенция о правах инвалидов 2006 года,1,1,1.0
